GEO,Year,region,decile,Type,value,UOM
Iran,87,Total,9,Total Income per capita,2231990.336,Rials per month
Iran,87,Total,10,Total Income per capita,3203295.876,Rials per month
Iran,87,Total,7,Total Income per capita,1552930.521,Rials per month
Iran,87,Total,5,Total Income per capita,1317494.246,Rials per month
Iran,87,Total,2,Total Income per capita,779324.8002,Rials per month
Iran,87,Urban,8,Total Income per capita,1928470.528,Rials per month
Iran,87,Urban,4,Total Income per capita,1115717.444,Rials per month
Iran,87,Urban,3,Total Income per capita,1009533.529,Rials per month
Iran,87,Urban,1,Total Income per capita,609923.3345,Rials per month
Iran,87,Urban,6,Total Income per capita,1510234.52,Rials per month
Iran,87,Urban,9,Total Income per capita,2304292.202,Rials per month
Iran,87,Urban,10,Total Income per capita,3289223.835,Rials per month
Iran,87,Urban,7,Total Income per capita,1590801.926,Rials per month
Iran,87,Urban,5,Total Income per capita,1410889.899,Rials per month
Iran,87,Urban,2,Total Income per capita,830802.4027,Rials per month
Iran,87,Rural,9,Total Income per capita,1801795.872,Rials per month
Iran,87,Rural,4,Total Income per capita,1023784.264,Rials per month
Iran,87,Rural,1,Total Income per capita,509996.6113,Rials per month
Iran,87,Rural,2,Total Income per capita,730981.4869,Rials per month
Iran,87,Rural,3,Total Income per capita,886189.1382,Rials per month
Iran,87,Rural,6,Total Income per capita,1208637.318,Rials per month
Iran,87,Rural,7,Total Income per capita,1402039.232,Rials per month
Iran,87,Rural,5,Total Income per capita,1095702.044,Rials per month
Iran,87,Rural,8,Total Income per capita,1632282.696,Rials per month
Iran,87,Rural,10,Total Income per capita,2455013.432,Rials per month
Iran,88,Total,6,Total Income per capita,1663783.955,Rials per month
Iran,88,Total,5,Total Income per capita,1330771.54,Rials per month
Iran,88,Total,4,Total Income per capita,1234927.302,Rials per month
Iran,88,Total,3,Total Income per capita,1072653.589,Rials per month
Iran,88,Total,10,Total Income per capita,3446642.695,Rials per month
Iran,88,Total,8,Total Income per capita,2094727.99,Rials per month
Iran,88,Total,9,Total Income per capita,2469780.865,Rials per month
Iran,88,Total,2,Total Income per capita,900085.8099,Rials per month
Iran,88,Total,7,Total Income per capita,1760137.205,Rials per month
Iran,88,Total,1,Total Income per capita,640221.5912,Rials per month
Iran,88,Urban,6,Total Income per capita,1825775.995,Rials per month
Iran,88,Urban,5,Total Income per capita,1422500.875,Rials per month
Iran,88,Urban,4,Total Income per capita,1343765.07,Rials per month
Iran,88,Urban,3,Total Income per capita,1129162.121,Rials per month
Iran,88,Urban,10,Total Income per capita,3546434.316,Rials per month
Iran,88,Urban,8,Total Income per capita,2220846.828,Rials per month
Iran,88,Urban,9,Total Income per capita,2588661.616,Rials per month
Iran,88,Urban,2,Total Income per capita,945730.4911,Rials per month
Iran,88,Urban,7,Total Income per capita,1881080.247,Rials per month
Iran,88,Urban,1,Total Income per capita,692728.0562,Rials per month
Iran,88,Rural,5,Total Income per capita,1120279.029,Rials per month
Iran,88,Rural,10,Total Income per capita,2626121.049,Rials per month
Iran,88,Rural,3,Total Income per capita,964471.286,Rials per month
Iran,88,Rural,6,Total Income per capita,1251613.555,Rials per month
Iran,88,Rural,7,Total Income per capita,1401106.846,Rials per month
Iran,88,Rural,8,Total Income per capita,1594527.124,Rials per month
Iran,88,Rural,9,Total Income per capita,1857171.542,Rials per month
Iran,88,Rural,2,Total Income per capita,833601.0236,Rials per month
Iran,88,Rural,1,Total Income per capita,602205.3085,Rials per month
Iran,88,Rural,4,Total Income per capita,1009020.943,Rials per month
Iran,89,Total,8,Total Income per capita,2326692.317,Rials per month
Iran,89,Total,6,Total Income per capita,1783588.006,Rials per month
Iran,89,Total,7,Total Income per capita,1978894.665,Rials per month
Iran,89,Total,10,Total Income per capita,3992997.589,Rials per month
Iran,89,Total,3,Total Income per capita,1281810.624,Rials per month
Iran,89,Total,5,Total Income per capita,1630088.227,Rials per month
Iran,89,Total,4,Total Income per capita,1460920.949,Rials per month
Iran,89,Total,9,Total Income per capita,2783949.388,Rials per month
Iran,89,Total,2,Total Income per capita,1037375.681,Rials per month
Iran,89,Total,1,Total Income per capita,738294.2775,Rials per month
Iran,89,Urban,8,Total Income per capita,2439099.671,Rials per month
Iran,89,Urban,6,Total Income per capita,1874848.389,Rials per month
Iran,89,Urban,7,Total Income per capita,2076626.953,Rials per month
Iran,89,Urban,10,Total Income per capita,4101904.692,Rials per month
Iran,89,Urban,3,Total Income per capita,1353577.498,Rials per month
Iran,89,Urban,5,Total Income per capita,1722654.783,Rials per month
Iran,89,Urban,4,Total Income per capita,1542538.697,Rials per month
Iran,89,Urban,9,Total Income per capita,2934211.225,Rials per month
Iran,89,Urban,2,Total Income per capita,1074338.97,Rials per month
Iran,89,Urban,1,Total Income per capita,815723.6768,Rials per month
Iran,89,Rural,1,Total Income per capita,689486.2409,Rials per month
Iran,89,Rural,5,Total Income per capita,1382445.431,Rials per month
Iran,89,Rural,3,Total Income per capita,1140913.876,Rials per month
Iran,89,Rural,2,Total Income per capita,984030.7585,Rials per month
Iran,89,Rural,7,Total Income per capita,1630297.974,Rials per month
Iran,89,Rural,6,Total Income per capita,1497727.741,Rials per month
Iran,89,Rural,8,Total Income per capita,1846342.423,Rials per month
Iran,89,Rural,4,Total Income per capita,1266928.469,Rials per month
Iran,89,Rural,10,Total Income per capita,3089659.214,Rials per month
Iran,89,Rural,9,Total Income per capita,2065345.319,Rials per month
Iran,90,Total,6,Total Income per capita,2418901.129,Rials per month
Iran,90,Total,4,Total Income per capita,2001927.566,Rials per month
Iran,90,Total,2,Total Income per capita,1560717.685,Rials per month
Iran,90,Total,7,Total Income per capita,2657843.884,Rials per month
Iran,90,Total,10,Total Income per capita,4691430.99,Rials per month
Iran,90,Total,8,Total Income per capita,2986073.146,Rials per month
Iran,90,Total,5,Total Income per capita,2196915.321,Rials per month
Iran,90,Total,9,Total Income per capita,3542803.115,Rials per month
Iran,90,Total,3,Total Income per capita,1806981.665,Rials per month
Iran,90,Total,1,Total Income per capita,1202274.702,Rials per month
Iran,90,Urban,6,Total Income per capita,2513309.398,Rials per month
Iran,90,Urban,4,Total Income per capita,2074947,Rials per month
Iran,90,Urban,2,Total Income per capita,1639876.105,Rials per month
Iran,90,Urban,7,Total Income per capita,2759522.246,Rials per month
Iran,90,Urban,10,Total Income per capita,4787011.828,Rials per month
Iran,90,Urban,8,Total Income per capita,3090090.091,Rials per month
Iran,90,Urban,5,Total Income per capita,2313178.375,Rials per month
Iran,90,Urban,9,Total Income per capita,3642402.26,Rials per month
Iran,90,Urban,3,Total Income per capita,1906586.864,Rials per month
